Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'',Iris-setosa
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-versicolor
'\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(-inf-0.25]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-versicolor
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(-inf-0.25]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-setosa
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.5-0.75]\'','\'(0.75-inf)\'','\'(0.25-0.5]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'',Iris-setosa
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-setosa
'\'(0.75-inf)\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-setosa
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-setosa
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-setosa
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.5-0.75]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.25-0.5]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.75-inf)\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.25-0.5]\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'',Iris-virginica
'\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(0.75-inf)\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(0.75-inf)\'',Iris-virginica
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(0.5-0.75]\'',Iris-virginica
