rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,associated_companies,number_of_companies
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,,False,U,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,Vice Chair & President,4/4/2023 5:01,,,1953.0,7.0,10.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,L'Oréal,1
12,79200,Technology,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,Alphabet,True,D,M,3/26/1973 0:00,Page,Larry,Cofounder & Board Member,4/4/2023 5:01,California,West,1973.0,3.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Alphabet, Google",2
13,77300,Fashion & Retail,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,,True,U,M,3/28/1936 0:00,Ortega,Amancio,Founder & Former Chairman,4/4/2023 5:01,,,1936.0,3.0,28.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,Zara,1
14,76000,Technology,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,Alphabet,True,D,M,8/21/1973 0:00,Brin,Sergey,Cofounder & Board Member,4/4/2023 5:01,California,West,1973.0,8.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Alphabet, Google",2
15,68000,Food & Beverage,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,,True,U,M,12/1/1954 0:00,Zhong,Shanshan,Founder & Chairman,4/4/2023 5:01,,,1954.0,12.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,"Beverages, pharmaceuticals",2
16,64400,Technology,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,True,D,M,5/14/1984 0:00,Zuckerberg,Mark,"Founder, Chairman & CEO",4/4/2023 5:01,California,West,1984.0,5.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Facebook, Meta Platforms",2
17,59000,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",False,D,M,11/1/1935 0:00,Koch,Charles,Chairman & Co-CEO,4/4/2023 5:01,Kansas,Midwest,1935.0,11.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Koch Industries, Koch Industries, Inc.",2
17,59000,Diversified,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,,False,D,F,4/12/1962 0:00,Koch,Julia,Board Member & Owner,4/4/2023 5:01,New York,Northeast,1962.0,4.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Koch Industries,1
19,58800,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",False,D,M,6/7/1948 0:00,Walton,Jim,Chairman & CEO,4/4/2023 5:01,Arkansas,South,1948.0,6.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Arvest Bank Group, Inc., Walmart",2
20,57600,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,D,M,10/27/1944 0:00,Walton,Rob,Former Chairman,4/4/2023 5:01,Arkansas,South,1944.0,10.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Walmart,1
21,56700,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,D,F,10/7/1949 0:00,Walton,Alice,Chairman,4/4/2023 5:01,Texas,South,1949.0,10.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Crystal Bridges Museum of American Art, Walmart",2
22,54400,Media & Entertainment,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,False,U,M,6/12/1957 0:00,Thomson,David,Chairman,4/4/2023 5:01,,,1957.0,6.0,12.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,"Media, Thomson Reuters Corporation",2
23,50100,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,True,D,M,2/23/1965 0:00,Dell,Michael,Chairman & CEO,4/4/2023 5:01,Texas,South,1965.0,2.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Dell Inc., Dell Technologies",2
24,47200,Diversified,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,,True,D,M,6/24/1962 0:00,Adani,Gautam,Chairman & Founder & Adani Group,4/4/2023 5:01,,,1962.0,6.0,24.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,"Infrastructure, commodities",2
25,45100,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,D,M,2/24/1938 0:00,Knight,Phil,Cofounder & Chairman Emeritus,4/4/2023 5:01,Oregon,West,1938.0,2.0,24.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Nike,1
26,45000,Technology,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,ByteDance,True,D,M,1/1/1984 0:00,Zhang,Yiming,Founder,4/4/2023 5:01,,,1984.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,"ByteDance, TikTok",2
27,42900,Fashion & Retail,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,,False,D,M,9/24/1939 0:00,Schwarz,Dieter,Owner,4/4/2023 5:01,,,1939.0,9.0,24.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Retail,1
28,40100,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,,True,D,M,8/21/1936 0:00,Pinault,François,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1936.0,8.0,21.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,Luxury goods,1
29,39100,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,,False,U,M,6/2/1937 0:00,Kuehne,Klaus-Michael,Heir & Major Shareholder,4/4/2023 5:01,,,1937.0,6.0,2.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Shipping,1
30,38900,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,False,U,M,9/21/1964 0:00,Ferrero,Giovanni,Heir & Major Shareholder & Nutella,4/4/2023 5:01,,,1964.0,9.0,21.0,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936,"Nutella, chocolates",2
31,38300,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,False,U,F,10/10/1939 0:00,Mars,Jacqueline,Heir & Major Shareholder & Candy & pet,4/4/2023 5:01,Virginia,South,1939.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Candy, pet food",2
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,,False,U,M,10/15/1935 0:00,Mars,John,Heir & Major Shareholder & Candy & pet,4/4/2023 5:01,Wyoming,South,1935.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Candy, pet food",2
33,38000,Diversified,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,U,M,6/13/1928 0:00,Li,Ka-shing,Founder & Lead Investor,4/4/2023 5:01,,,1928.0,6.0,13.0,,,,,,,,,,,,"CK Hutchison Holdings, Diversified",10
34,35300,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,D,M,10/29/1971 0:00,Ma,Huateng,Chairman and CEO,4/4/2023 5:01,,,1971.0,10.0,29.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,"Internet media, Tencent Holdings",2
35,35000,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,False,U,F,10/10/1945 0:00,Adelson,Miriam,Controlling Shareholder & (Family Estate),4/4/2023 5:01,Nevada,West,1945.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Casinos,1
35,35000,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,U,M,10/15/1968 0:00,Griffin,Ken,Founder & CEO,4/4/2023 5:01,Florida,South,1968.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Citadel LLC, Hedge funds",2
37,34700,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,False,N,M,5/7/1992 0:00,Mateschitz,Mark,Heir & Major Shareholder & Red,4/4/2023 5:01,,,1992.0,5.0,7.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072,Red Bull,1
38,33400,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,,True,D,M,1/1/1969 0:00,Zeng,Robin,Founder & Entrepreneur,4/4/2023 5:01,,,1969.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Batteries,1
39,32600,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,True,U,M,2/7/1949 0:00,Yanai,Tadashi,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1949.0,2.0,7.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,Fashion retail,1
40,32100,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,,True,D,M,6/1/1957 0:00,Blavatnik,Len,Founder & Entrepreneur & Music,4/4/2023 5:01,,,1957.0,6.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,"Music, chemicals",2
41,31600,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,8/28/1948 0:00,Wertheimer,Alain,Heir & Major Shareholder,4/4/2023 5:01,New York,Northeast,1948.0,8.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Chanel,1
41,31600,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,1/9/1951 0:00,Wertheimer,Gerard,Heir & Major Shareholder,4/4/2023 5:01,New York,Northeast,1951.0,1.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Chanel,1
43,31200,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,M,6/27/1940 0:00,Aponte,Gianluigi,Founder & Entrepreneur,4/4/2023 5:01,,,1940.0,6.0,27.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Shipping,1
43,31200,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,Founder & Entrepreneur,4/4/2023 5:01,,,1945.0,3.0,26.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Shipping,1
45,30200,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,,True,U,M,2/2/1980 0:00,Huang,Colin Zheng,Founder & Entrepreneur,4/4/2023 5:01,,,1980.0,2.0,2.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,E-commerce,1
46,29700,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,True,U,M,4/20/1935 0:00,Wuerth,Reinhold,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1935.0,4.0,20.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Fasteners,1
47,29500,Real Estate,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,D,M,1/29/1928 0:00,Lee,Shau Kee,Founder & Entrepreneur,4/4/2023 5:01,,,1928.0,1.0,29.0,,,,,,,,,,,,Real estate,1
48,28500,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,,True,U,M,7/17/1958 0:00,Yass,Jeff,Founder & Entrepreneur & Trading,4/4/2023 5:01,Pennsylvania,Northeast,1958.0,7.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Trading, investments",2
49,28100,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,D,M,4/25/1938 0:00,Simons,Jim,Founder,4/4/2023 5:01,New York,Northeast,1938.0,4.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Hedge funds, Renaissance Technologies Corp.",2
50,27800,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,D,M,2/14/1947 0:00,Schwarzman,Stephen,Chairman and CEO,4/4/2023 5:01,New York,Northeast,1947.0,2.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Blackstone Group, Investments",2
51,27400,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,False,U,F,4/28/1962 0:00,Klatten,Susanne,Heir & Major Shareholder & BMW,4/4/2023 5:01,,,1962.0,4.0,28.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,"BMW, pharmaceuticals",2
52,27000,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,D,F,2/9/1954 0:00,Rinehart,Gina,Executive Chairman,4/4/2023 5:01,,,1954.0,2.0,9.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,"Hancock Prospecting, Mining",2
53,26700,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,,True,U,M,10/1/1971 0:00,Ding,William,Founder & Entrepreneur,4/4/2023 5:01,,,1971.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Online games,1
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,False,D,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1953.0,10.0,26.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,Mining,1
55,25600,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,,True,D,M,7/18/1945 0:00,Nadar,Shiv,Founder & Entrepreneur,4/4/2023 5:01,,,1945.0,7.0,18.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,software services,1
56,25500,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,,True,U,M,4/17/1948 0:00,Low Tuck,Kwong,Founder & Entrepreneur,4/4/2023 5:01,,,1948.0,4.0,17.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,Coal,1
57,25300,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,True,U,M,9/30/1944 0:00,Peterffy,Thomas,Founder & Entrepreneur,4/4/2023 5:01,Florida,South,1944.0,9.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Discount brokerage,1
58,25200,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,True,U,M,3/8/1972 0:00,Melnichenko,Andrey,Controlling Shareholder & Fertilizers & (Family Estate),4/4/2023 5:01,,,1972.0,3.0,8.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818,"Fertilizers, coal",2
59,24600,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,,False,U,M,5/9/1966 0:00,Quandt,Stefan,Heir & Major Shareholder & BMW,4/4/2023 5:01,,,1966.0,5.0,9.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,BMW,1
60,24400,Technology,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,,False,D,F,4/7/1970 0:00,Scott,MacKenzie,Heir & Major Shareholder,4/4/2023 5:01,Washington,West,1970.0,4.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Amazon,1
61,24200,Finance & Investments,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,False,U,M,1/1/1941 0:00,Hartono,R. Budi,Heir & Major Shareholder & Banking,4/4/2023 5:01,,,1941.0,1.0,1.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,"Banking, tobacco",2
62,23700,Metals & Mining,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,,True,U,M,1/3/1961 0:00,Potanin,Vladimir,Founder & Entrepreneur,4/4/2023 5:01,,,1961.0,1.0,3.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,Metals,1
63,23500,Technology,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,,True,U,M,9/10/1964 0:00,Ma,Jack,Founder & Entrepreneur,4/4/2023 5:01,,,1964.0,9.0,10.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,E-commerce,1
64,23400,Manufacturing,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,,True,D,M,8/11/1942 0:00,He,Xiangjian,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1942.0,8.0,11.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Home appliances,1
65,23100,Metals & Mining,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,,False,U,F,1/1/1943 0:00,Fontbona,Iris,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1943.0,1.0,1.0,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969,Mining,1
65,23100,Manufacturing,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,,False,U,M,10/2/1939 0:00,Hartono,Michael,Heir & Major Shareholder & Banking,4/4/2023 5:01,,,1939.0,10.0,2.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,"Banking, tobacco",2
67,22900,Manufacturing,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,U,M,1/1/1953 0:00,Ratcliffe,James,Founder & Entrepreneur,4/4/2023 5:01,,,1953.0,1.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Chemicals,1
68,22600,Healthcare,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,,False,D,M,5/11/1941 0:00,Poonawalla,Cyrus,Heir & Major Shareholder,4/4/2023 5:01,,,1941.0,5.0,11.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Vaccines,1
69,22400,Telecom,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,True,U,M,8/11/1957 0:00,Son,Masayoshi,CEO & Internet,4/4/2023 5:01,,,1957.0,8.0,11.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,"Internet, SoftBank Group Corp., telecom",3
